district,expected_province,match_status,matched_admin1_or_error,latitude,longitude
Chadiza,Eastern,PROVINCE_MATCH,Eastern Province,-14.06779,32.43917
Chama,Eastern,BEST_GUESS,Muchinga,-11.21303,33.1521
Chasefu,Eastern,BEST_GUESS,Muchinga,-11.91667,33.1
Chavuma,Northwestern,PROVINCE_MATCH,North-Western Province,-13.06667,22.68333
Chembe,Luapula,PROVINCE_MATCH,Luapula Province,-11.96201,28.74313
Chibombo,Central,PROVINCE_MATCH,Central Province,-14.65685,28.07057
Chienge,Luapula,NO_MATCH,no Zambian results,-15.42,28.28
Chifunabuli,Luapula,NO_MATCH,no Zambian results,-15.42,28.28
Chikankata,Southern,PROVINCE_MATCH,Southern Province,-16.25,28.13333
Chilanga,Lusaka,PROVINCE_MATCH,Lusaka Province,-15.57079,28.2701
Chililabombwe,Copperbelt,BEST_GUESS,Copperbelt,-12.36475,27.82286
Chilubi,Northern,PROVINCE_MATCH,Northern Province,-11.11459,29.94634
Chingola,Copperbelt,BEST_GUESS,Copperbelt,-12.52897,27.88382
Chinsali,Muchinga,BEST_GUESS,Muchinga,-10.54142,32.08162
Chipangali,Eastern,NO_MATCH,no Zambian results,-15.42,28.28
Chipata,Eastern,PROVINCE_MATCH,Eastern Province,-13.63333,32.65
Chipili,Luapula,PROVINCE_MATCH,Luapula Province,-10.73221,29.09322
Chirundu,Southern,PROVINCE_MATCH,Southern Province,-16.03577,28.84311
Chisamba,Central,PROVINCE_MATCH,Central Province,-14.97977,28.37907
Chitambo,Central,PROVINCE_MATCH,Central Province,-12.91315,30.67087
Choma,Southern,PROVINCE_MATCH,Southern Province,-16.80889,26.9875
Chongwe,Lusaka,PROVINCE_MATCH,Lusaka Province,-15.32916,28.68204
Gwembe,Southern,PROVINCE_MATCH,Southern Province,-16.49755,27.60691
Ikelenge,Northwestern,PROVINCE_MATCH,North-Western Province,-11.2362,24.2775
Isoka,Muchinga,BEST_GUESS,Muchinga,-10.16062,32.63353
Itezhi-tezhi,Southern,PROVINCE_MATCH,Southern Province,-15.73691,26.04155
Kabompo,Northwestern,PROVINCE_MATCH,North-Western Province,-13.59268,24.20081
Kabwe,Central,PROVINCE_MATCH,Central Province,-14.4469,28.44644
Kafue,Lusaka,PROVINCE_MATCH,Lusaka Province,-15.76911,28.18136
Kalabo,Western,PROVINCE_MATCH,Western Province,-14.99307,22.67926
Kalomo,Southern,PROVINCE_MATCH,Southern Province,-17.02581,26.48369
Kalulushi,Copperbelt,BEST_GUESS,Copperbelt,-12.84151,28.09479
Kalumbila,Northwestern,PROVINCE_MATCH,North-Western Province,-12.25098,25.43804
Kanchibiya,Muchinga,NO_MATCH,no Zambian results,-15.42,28.28
Kaoma,Western,PROVINCE_MATCH,Western Province,-14.78333,24.8
Kapiri Mposhi,Central,PROVINCE_MATCH,Central Province,-13.97147,28.66985
Kaputa,Northern,PROVINCE_MATCH,Northern Province,-8.46887,29.66193
Kasama,Northern,PROVINCE_MATCH,Northern Province,-10.21289,31.18084
Kasempa,Northwestern,PROVINCE_MATCH,North-Western Province,-13.45836,25.8338
Kasenengwa,Eastern,NO_MATCH,no Zambian results,-15.42,28.28
Katete,Eastern,PROVINCE_MATCH,Eastern Province,-14.05,32.08333
Kawambwa,Luapula,PROVINCE_MATCH,Luapula Province,-9.7915,29.07913
Kazungula,Southern,PROVINCE_MATCH,Southern Province,-17.79356,25.27473
Kitwe,Copperbelt,BEST_GUESS,Copperbelt,-12.80243,28.21323
Lavushimanda,Muchinga,NO_MATCH,no Zambian results,-15.42,28.28
Limulunga,Western,PROVINCE_MATCH,Western Province,-15.09691,23.13757
Livingstone,Southern,PROVINCE_MATCH,Southern Province,-17.84194,25.85425
Luampa,Western,PROVINCE_MATCH,Western Province,-15.43111,24.72927
Luangwa,Lusaka,PROVINCE_MATCH,Lusaka Province,-15.61667,30.41667
Luano,Central,PROVINCE_MATCH,Central Province,-14.11481,30.14171
Luanshya,Copperbelt,BEST_GUESS,Copperbelt,-13.13667,28.41661
