Year,Month,Province,District,Suspected_Cases,RDT_Tested,Microscopy_Tested,Confirmed_Cases
2023,1,Lusaka,Lusaka,3976,3451,164,932
2023,2,Lusaka,Lusaka,3930,3478,265,1372
2023,3,Lusaka,Lusaka,4233,3390,145,1267
2023,4,Lusaka,Lusaka,3799,3125,64,1063
2023,5,Lusaka,Lusaka,1671,1347,76,521
2023,6,Lusaka,Lusaka,2002,1772,80,711
2023,7,Lusaka,Lusaka,964,826,52,360
2023,8,Lusaka,Lusaka,944,785,50,329
2023,9,Lusaka,Lusaka,1384,1218,25,345
2023,10,Lusaka,Lusaka,1708,1376,86,399
2023,11,Lusaka,Lusaka,2661,2347,60,798
2023,12,Lusaka,Lusaka,3583,3072,164,937
2023,1,Lusaka,Chongwe,4490,4075,186,1445
2023,2,Lusaka,Chongwe,4128,3589,125,1549
2023,3,Lusaka,Chongwe,3225,2637,180,1150
2023,4,Lusaka,Chongwe,4275,3470,181,1487
2023,5,Lusaka,Chongwe,2383,2117,151,876
2023,6,Lusaka,Chongwe,3202,2584,104,708
2023,7,Lusaka,Chongwe,1189,1023,35,453
2023,8,Lusaka,Chongwe,611,551,27,205
2023,9,Lusaka,Chongwe,975,820,28,367
2023,10,Lusaka,Chongwe,1489,1230,71,398
2023,11,Lusaka,Chongwe,2636,2169,120,560
2023,12,Lusaka,Chongwe,3091,2601,79,986
2023,1,Lusaka,Kafue,3767,3273,202,1173
2023,2,Lusaka,Kafue,4380,3505,217,1072
2023,3,Lusaka,Kafue,3528,2843,120,1041
2023,4,Lusaka,Kafue,4225,3367,157,1169
2023,5,Lusaka,Kafue,2125,1793,94,559
2023,6,Lusaka,Kafue,1262,1016,49,453
2023,7,Lusaka,Kafue,876,736,36,218
2023,8,Lusaka,Kafue,653,515,33,220
2023,9,Lusaka,Kafue,1137,981,48,298
2023,10,Lusaka,Kafue,538,476,19,183
2023,11,Lusaka,Kafue,1276,1106,41,399
2023,12,Lusaka,Kafue,2585,2266,130,569
2023,1,Lusaka,Luangwa,8008,7195,393,1934
2023,2,Lusaka,Luangwa,6212,5760,125,2121
2023,3,Lusaka,Luangwa,6733,5993,343,1757
2023,4,Lusaka,Luangwa,7313,5748,365,2170
2023,5,Lusaka,Luangwa,3667,3007,64,799
2023,6,Lusaka,Luangwa,3573,3193,93,909
2023,7,Lusaka,Luangwa,2773,2441,110,909
2023,8,Lusaka,Luangwa,2186,2024,46,553
2023,9,Lusaka,Luangwa,1675,1459,44,503
2023,10,Lusaka,Luangwa,3373,2829,120,733
2023,11,Lusaka,Luangwa,3736,3215,69,1217
2023,12,Lusaka,Luangwa,4241,3578,169,1355
2023,1,Lusaka,Chilanga,4088,3714,158,1088
2023,2,Lusaka,Chilanga,3919,3356,204,1098
2023,3,Lusaka,Chilanga,5109,4091,184,1055
2023,4,Lusaka,Chilanga,1920,1689,107,617
2023,5,Lusaka,Chilanga,2484,2150,138,830
2023,6,Lusaka,Chilanga,1104,1000,37,328
2023,7,Lusaka,Chilanga,983,903,22,315
2023,8,Lusaka,Chilanga,869,764,51,336
2023,9,Lusaka,Chilanga,834,737,33,308
2023,10,Lusaka,Chilanga,1705,1451,49,512
2023,11,Lusaka,Chilanga,1961,1628,69,564
2023,12,Lusaka,Chilanga,2743,2314,102,696
2023,1,Lusaka,Rufunsa,3854,3460,168,1142
2023,2,Lusaka,Rufunsa,3269,2827,150,1260
2023,3,Lusaka,Rufunsa,4643,3732,140,1095
2023,4,Lusaka,Rufunsa,2917,2558,198,1108
2023,5,Lusaka,Rufunsa,2213,1965,66,644
2023,6,Lusaka,Rufunsa,2159,1875,68,481
2023,7,Lusaka,Rufunsa,715,592,14,257
2023,8,Lusaka,Rufunsa,1014,808,39,328
2023,9,Lusaka,Rufunsa,1763,1613,35,424
2023,10,Lusaka,Rufunsa,1021,809,52,289
2023,11,Lusaka,Rufunsa,3232,2862,100,833
2023,12,Lusaka,Rufunsa,4134,3789,136,983
2023,1,Copperbelt,Kitwe,15090,12670,919,4589
2023,2,Copperbelt,Kitwe,14260,13182,371,3857
2023,3,Copperbelt,Kitwe,19201,15651,795,5003
2023,4,Copperbelt,Kitwe,6383,5219,150,2296
2023,5,Copperbelt,Kitwe,6600,6026,147,1796
2023,6,Copperbelt,Kitwe,5026,4426,136,1674
2023,7,Copperbelt,Kitwe,5188,4613,139,1191
2023,8,Copperbelt,Kitwe,3898,3419,110,1170
2023,9,Copperbelt,Kitwe,7380,5793,419,1543
2023,10,Copperbelt,Kitwe,3435,3082,95,1232
2023,11,Copperbelt,Kitwe,5165,4645,103,1856
2023,12,Copperbelt,Kitwe,5172,4511,119,1608
2023,1,Copperbelt,Ndola,4711,4065,103,1700
2023,2,Copperbelt,Ndola,8580,7223,425,2319
2023,3,Copperbelt,Ndola,13936,11306,455,3683
2023,4,Copperbelt,Ndola,9162,8102,615,2561
2023,5,Copperbelt,Ndola,4724,3925,91,1614
2023,6,Copperbelt,Ndola,4149,3425,268,860
2023,7,Copperbelt,Ndola,2909,2358,76,985
2023,8,Copperbelt,Ndola,2499,2019,126,719
2023,9,Copperbelt,Ndola,2364,1994,94,646
2023,10,Copperbelt,Ndola,2602,2410,68,645
2023,11,Copperbelt,Ndola,3736,3158,204,1327
2023,12,Copperbelt,Ndola,4261,3570,81,1408
2023,1,Copperbelt,Mufulira,8646,7333,546,2763
2023,2,Copperbelt,Mufulira,9987,8132,601,3194
2023,3,Copperbelt,Mufulira,5080,4576,109,1631
2023,4,Copperbelt,Mufulira,10174,8916,549,3532
2023,5,Copperbelt,Mufulira,5602,5040,144,2045
2023,6,Copperbelt,Mufulira,6936,5957,310,1612
2023,7,Copperbelt,Mufulira,4970,4433,293,1471
2023,8,Copperbelt,Mufulira,2049,1606,111,594
2023,9,Copperbelt,Mufulira,1366,1248,35,540
2023,10,Copperbelt,Mufulira,3724,2965,222,802
2023,11,Copperbelt,Mufulira,3330,2901,216,1213
2023,12,Copperbelt,Mufulira,7130,6253,249,2611
2023,1,Copperbelt,Chingola,6318,5475,219,1374
2023,2,Copperbelt,Chingola,12845,10798,693,3449
2023,3,Copperbelt,Chingola,8456,7124,533,2378
2023,4,Copperbelt,Chingola,5108,4151,127,1589
2023,5,Copperbelt,Chingola,5130,4195,136,1678
2023,6,Copperbelt,Chingola,2722,2438,131,840
2023,7,Copperbelt,Chingola,2312,2086,61,755
2023,8,Copperbelt,Chingola,3685,3133,183,953
2023,9,Copperbelt,Chingola,2167,1992,42,766
2023,10,Copperbelt,Chingola,3837,3443,89,1025
2023,11,Copperbelt,Chingola,6313,5137,193,1495
2023,12,Copperbelt,Chingola,8642,7371,227,1882
2023,1,Copperbelt,Luanshya,8707,7360,327,2759
2023,2,Copperbelt,Luanshya,10484,8638,245,3479
2023,3,Copperbelt,Luanshya,22158,18387,965,5585
2023,4,Copperbelt,Luanshya,9772,8639,445,3861
2023,5,Copperbelt,Luanshya,7973,7298,150,2126
2023,6,Copperbelt,Luanshya,7097,6222,372,2303
2023,7,Copperbelt,Luanshya,5464,4833,310,1369
2023,8,Copperbelt,Luanshya,5186,4302,177,1324
2023,9,Copperbelt,Luanshya,3581,3288,108,1304
2023,10,Copperbelt,Luanshya,3107,2676,149,935
2023,11,Copperbelt,Luanshya,6226,5476,252,2123
2023,12,Copperbelt,Luanshya,12802,10987,608,3345
2023,1,Copperbelt,Kalulushi,9769,7960,544,3156
2023,2,Copperbelt,Kalulushi,15350,12400,412,4314
2023,3,Copperbelt,Kalulushi,19684,16936,1047,4349
2023,4,Copperbelt,Kalulushi,10512,8615,337,3609
2023,5,Copperbelt,Kalulushi,8354,6931,279,2698
2023,6,Copperbelt,Kalulushi,4454,3748,146,1530
2023,7,Copperbelt,Kalulushi,3808,3199,255,1311
2023,8,Copperbelt,Kalulushi,4058,3161,228,1187
2023,9,Copperbelt,Kalulushi,3810,3348,138,911
2023,10,Copperbelt,Kalulushi,7814,6499,515,1648
2023,11,Copperbelt,Kalulushi,7529,6244,478,2659
2023,12,Copperbelt,Kalulushi,6833,6141,207,2165
2023,1,Copperbelt,Chililabombwe,11751,10263,528,3792
2023,2,Copperbelt,Chililabombwe,13728,12218,792,4577
2023,3,Copperbelt,Chililabombwe,6538,5820,128,2447
2023,4,Copperbelt,Chililabombwe,12073,10251,208,3081
2023,5,Copperbelt,Chililabombwe,7791,6437,152,2886
2023,6,Copperbelt,Chililabombwe,5444,4385,230,1677
2023,7,Copperbelt,Chililabombwe,5410,4792,191,1352
2023,8,Copperbelt,Chililabombwe,6595,5148,375,1482
2023,9,Copperbelt,Chililabombwe,3680,3184,63,1375
2023,10,Copperbelt,Chililabombwe,5649,4793,189,1279
2023,11,Copperbelt,Chililabombwe,7593,6671,140,2046
2023,12,Copperbelt,Chililabombwe,6799,5921,398,2373
2023,1,Copperbelt,Lufwanyama,9059,8108,464,2588
2023,2,Copperbelt,Lufwanyama,8003,7439,159,2988
2023,3,Copperbelt,Lufwanyama,13337,11088,885,3379
2023,4,Copperbelt,Lufwanyama,5041,4594,152,1786
2023,5,Copperbelt,Lufwanyama,11214,9359,717,3149
2023,6,Copperbelt,Lufwanyama,5500,4447,198,1987
2023,7,Copperbelt,Lufwanyama,2746,2192,106,927
2023,8,Copperbelt,Lufwanyama,2385,1914,135,774
2023,9,Copperbelt,Lufwanyama,2015,1800,88,737
2023,10,Copperbelt,Lufwanyama,4510,4057,200,1177
2023,11,Copperbelt,Lufwanyama,5207,4585,111,1157
2023,12,Copperbelt,Lufwanyama,8682,6943,497,2701
2023,1,Copperbelt,Mpongwe,7460,6735,360,2630
2023,2,Copperbelt,Mpongwe,12774,11773,258,3769
2023,3,Copperbelt,Mpongwe,12269,11178,335,3242
2023,4,Copperbelt,Mpongwe,8913,7702,178,3368
2023,5,Copperbelt,Mpongwe,9722,8012,198,3309
2023,6,Copperbelt,Mpongwe,6387,5238,270,1984
2023,7,Copperbelt,Mpongwe,3141,2637,156,1076
2023,8,Copperbelt,Mpongwe,2555,2065,162,928
2023,9,Copperbelt,Mpongwe,3471,2928,189,1158
2023,10,Copperbelt,Mpongwe,3150,2543,125,1005
2023,11,Copperbelt,Mpongwe,8135,6722,385,1964
2023,12,Copperbelt,Mpongwe,8578,7667,235,3311
2023,1,Copperbelt,Masaiti,7395,6163,342,2040
2023,2,Copperbelt,Masaiti,19060,15491,680,4840
2023,3,Copperbelt,Masaiti,19572,16340,1193,4852
2023,4,Copperbelt,Masaiti,17710,14862,698,4149
2023,5,Copperbelt,Masaiti,7103,5987,373,2433
2023,6,Copperbelt,Masaiti,6664,5781,457,1485
2023,7,Copperbelt,Masaiti,3455,2935,179,1077
2023,8,Copperbelt,Masaiti,5509,4494,352,1414
2023,9,Copperbelt,Masaiti,5572,4549,130,1258
