district,date,epi_week,reporting_year,suspected_cases,rdt_confirmations
Chadiza,2021-01-01,1,2021,0,267
Chadiza,2022-01-01,1,2022,0,143
Chadiza,2023-01-01,1,2023,0,226
Chadiza,2024-01-01,1,2024,0,216
Chadiza,2025-01-01,1,2025,0,266
Chama,2021-01-01,1,2021,0,582
Chama,2022-01-01,1,2022,0,541
Chama,2023-01-01,1,2023,0,876
Chama,2024-01-01,1,2024,0,594
Chama,2025-01-01,1,2025,0,727
Chasefu,2021-01-01,1,2021,0,844
Chasefu,2022-01-01,1,2022,0,571
Chasefu,2023-01-01,1,2023,0,931
Chasefu,2024-01-01,1,2024,0,708
Chasefu,2025-01-01,1,2025,0,844
Chavuma,2021-01-01,1,2021,0,1134
Chavuma,2022-01-01,1,2022,0,1441
Chavuma,2023-01-01,1,2023,0,1767
Chavuma,2024-01-01,1,2024,0,1082
Chavuma,2025-01-01,1,2025,0,1181
Chembe,2021-01-01,1,2021,0,1115
Chembe,2022-01-01,1,2022,0,750
Chembe,2023-01-01,1,2023,0,992
Chembe,2024-01-01,1,2024,0,776
Chembe,2025-01-01,1,2025,0,720
Chibombo,2021-01-01,1,2021,0,155
Chibombo,2022-01-01,1,2022,0,86
Chibombo,2023-01-01,1,2023,0,34
Chibombo,2024-01-01,1,2024,0,20
Chibombo,2025-01-01,1,2025,0,24
Chienge,2021-01-01,1,2021,0,440
Chienge,2022-01-01,1,2022,0,322
Chienge,2023-01-01,1,2023,0,410
Chienge,2024-01-01,1,2024,0,245
Chienge,2025-01-01,1,2025,0,271
Chifunabuli,2021-01-01,1,2021,0,779
Chifunabuli,2022-01-01,1,2022,0,743
Chifunabuli,2023-01-01,1,2023,0,1016
Chifunabuli,2024-01-01,1,2024,0,656
Chifunabuli,2025-01-01,1,2025,0,678
Chikankata,2021-01-01,1,2021,0,53
Chikankata,2022-01-01,1,2022,0,25
Chikankata,2023-01-01,1,2023,0,38
Chikankata,2024-01-01,1,2024,0,17
Chikankata,2025-01-01,1,2025,0,33
Chilanga,2021-01-01,1,2021,0,22
Chilanga,2022-01-01,1,2022,0,11
Chilanga,2023-01-01,1,2023,0,13
Chilanga,2024-01-01,1,2024,0,11
Chilanga,2025-01-01,1,2025,0,14
Chililabombwe,2021-01-01,1,2021,0,420
Chililabombwe,2022-01-01,1,2022,0,433
Chililabombwe,2023-01-01,1,2023,0,586
Chililabombwe,2024-01-01,1,2024,0,378
Chililabombwe,2025-01-01,1,2025,0,366
Chilubi,2021-01-01,1,2021,0,462
Chilubi,2022-01-01,1,2022,0,428
Chilubi,2023-01-01,1,2023,0,632
Chilubi,2024-01-01,1,2024,0,551
Chilubi,2025-01-01,1,2025,0,480
Chingola,2021-01-01,1,2021,0,290
Chingola,2022-01-01,1,2022,0,258
Chingola,2023-01-01,1,2023,0,410
Chingola,2024-01-01,1,2024,0,286
Chingola,2025-01-01,1,2025,0,244
Chinsali,2021-01-01,1,2021,0,627
Chinsali,2022-01-01,1,2022,0,469
Chinsali,2023-01-01,1,2023,0,392
Chinsali,2024-01-01,1,2024,0,400
Chinsali,2025-01-01,1,2025,0,329
Chipangali,2021-01-01,1,2021,0,878
Chipangali,2022-01-01,1,2022,0,335
Chipangali,2023-01-01,1,2023,0,389
Chipangali,2024-01-01,1,2024,0,450
Chipangali,2025-01-01,1,2025,0,360
Chipata,2021-01-01,1,2021,0,332
Chipata,2022-01-01,1,2022,0,157
Chipata,2023-01-01,1,2023,0,256
Chipata,2024-01-01,1,2024,0,295
Chipata,2025-01-01,1,2025,0,312
Chipili,2021-01-01,1,2021,0,579
Chipili,2022-01-01,1,2022,0,706
Chipili,2023-01-01,1,2023,0,986
